ShowName,Links,Imdb,Reelgood,Genres,MaturityRating,RunningDate,Seasons,ReturningDate,Service,Country
Breaking Bad,https://reelgood.com/show/breaking-bad-2008,9.5,100.0,"['Crime', 'Drama']",Rated: 18+ (TV-MA),2008 - 2013,5 Seasons,Series Ended,['Netflix'],Country: America
Game of Thrones,https://reelgood.com/show/game-of-thrones-2011,9.3,99.0,"['Action & Adventure', 'Drama', 'Fantasy', 'Science-Fiction']",Rated: 18+ (TV-MA),2011 - 2019,8 Seasons,Series Ended,"['HBO', 'HBO MAX']",Country: America
Rick and Morty,https://reelgood.com/show/rick-and-morty-2013,9.2,97.0,"['Action & Adventure', 'Animation', 'Comedy', 'Fantasy', 'Science-Fiction']",Rated: 18+ (TV-MA),2013 - Present,4 Seasons,Returning: Date TBA,"['Hulu', 'HBO', 'HBO MAX', 'fuboTV', 'Hoopla']",Country: America
Stranger Things,https://reelgood.com/show/stranger-things-2016,8.8,96.0,"['Action & Adventure', 'Drama', 'Fantasy', 'Horror', 'Mystery', 'Science-Fiction']",Rated: 14+ (TV-14),2016 - Present,3 Seasons,Returning: Date TBA,['Netflix'],Country: America
Dark,https://reelgood.com/show/dark-2017,8.8,95.0,"['Crime', 'Drama', 'Fantasy', 'Mystery', 'Science-Fiction']",Rated: 14+ (TV-14),2017 - 2020,3 Seasons,Series Ended,['Netflix'],Country: Germany
The Boys,https://reelgood.com/show/the-boys-2019,8.7,95.0,"['Action & Adventure', 'Comedy', 'Crime', 'Fantasy', 'Science-Fiction']",Rated: 18+ (TV-MA),2019 - Present,2 Seasons,"Returns: Sep. 11, 2020",['Prime Video'],Country: America
Chernobyl,https://reelgood.com/show/chernobyl-2019,9.4,95.0,['Drama'],Rated: 18+ (TV-MA),2019 - 2019,1 Season,Series Ended,"['HBO', 'HBO MAX']",Country: America
Sherlock,https://reelgood.com/show/sherlock-2010,9.1,94.0,"['Action & Adventure', 'Crime', 'Drama', 'Mystery']",Rated: 14+ (TV-14),2010 - 2017,4 Seasons,"Returns: Jan. 1, 2021",['Netflix'],Country: United Kingdom
Fargo,https://reelgood.com/show/fargo-2014,8.9,94.0,"['Comedy', 'Crime', 'Drama']",Rated: 18+ (TV-MA),2014 - Present,3 Seasons,Returning: Date TBA,['Hulu'],Country: America
Avatar: The Last Airbender,https://reelgood.com/show/avatar-the-last-airbender-2005,9.2,94.0,"['Action & Adventure', 'Animation', 'Children', 'Drama', 'Family', 'Fantasy', 'Mystery']",Rated: 7+ (TV-PG),2005 - 2008,3 Seasons,Series Ended,"['Netflix', 'CBS All Access', 'Hoopla']",Country: America
Friends,https://reelgood.com/show/friends-1994,8.9,94.0,"['Comedy', 'Drama']",Rated: 14+ (TV-14),1994 - 2004,10 Seasons,Series Ended,"['HBO', 'HBO MAX', 'fuboTV']",Country: America
The Office,https://reelgood.com/show/the-office-2005,8.9,93.0,['Comedy'],Rated: 14+ (TV-14),2005 - 2013,9 Seasons,Series Ended,['Netflix'],
The Office,https://reelgood.com/show/the-office-2005,8.5,84.0,"['Comedy', 'Drama']",Rated: 14+ (TV-14),2001 - 2003,3 Seasons,Series Ended,"['Hulu', 'HBO', 'HBO MAX', 'BritBox']",
Supernatural,https://reelgood.com/show/supernatural-2005,8.4,93.0,"['Drama', 'Fantasy', 'Horror', 'Mystery', 'Science-Fiction']",Rated: 14+ (TV-14),2005 - Present,15 Seasons,"Returns: Oct. 9, 2020","['Netflix', 'fuboTV']",Country: America
The Wire,https://reelgood.com/show/the-wire-2002,9.3,93.0,"['Crime', 'Drama', 'Mystery']",Rated: 18+ (TV-MA),2002 - 2008,5 Seasons,Series Ended,"['HBO', 'HBO MAX']",Country: America
Better Call Saul,https://reelgood.com/show/better-call-saul-2015,8.7,93.0,"['Comedy', 'Crime', 'Drama']",Rated: 18+ (TV-MA),2015 - Present,5 Seasons,Returning: Date TBA,['Netflix'],
